,Provider,inp_out,inp_out,ClmAdmitDiagnosisCode,DiagnosisGroupCode,AttendingPhysician,OperatingPhysician,OtherPhysician,ChronicCond_Alzheimer,ChronicCond_Heartfailure,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,Gender,RenalDiseaseIndicator,InscClaimAmtReimbursed,InscClaimAmtReimbursed,IPAnnualReimbursementAmt,IPAnnualReimbursementAmt,IPAnnualDeductibleAmt,IPAnnualDeductibleAmt,OPAnnualReimbursementAmt,IPAnnualDeductibleAmt,Age,settlement_days,settlement_days,Days_Admit,Total_deductible,Total_deductible,Total_reimbursible,Total_reimbursible,ClaimID,State,County,PotentialFraud
0,PRV51001,20,5,11,5,14,5,8,15,19,17,5,10,9,21,23,6,8,6,41,0.0,4185.6,104640,17606.0,440150,897.12,22428,2615.2,22428,78.8082191780822,1.44,0,1.0,1361.04,34026,20221.2,505530,25,1,7,0
1,PRV51003,70,62,58,58,44,7,22,56,80,64,10,41,54,100,112,33,38,12,210,0.0,4588.409090909091,605670,7568.181818181818,999000,931.4242424242424,122948,2678.181818181818,122948,70.04518472395185,3.6742424242424243,0,2.4242424242424243,1668.5454545454545,220248,10246.363636363636,1352520,132,3,23,1
2,PRV51004,149,0,25,0,38,19,26,64,88,50,16,41,63,105,108,49,46,17,252,0.0,350.13422818791946,52170,4351.879194630873,648430,434.9530201342282,64808,2194.8993288590605,64808,72.22770984646502,1.429530201342282,0,0.0,1057.7046979865772,157598,6546.778523489933,975470,149,9,28,0
3,PRV51005,1164,0,158,0,6,6,4,426,679,507,165,294,484,798,894,344,331,124,1817,0.0,241.29725085910653,280870,3503.393470790378,4077950,377.6529209621993,439588,2027.774914089347,439588,70.51588287906606,1.0893470790378006,0,0.0,1013.544673539519,1179766,5531.168384879725,6438280,1165,4,26,1
4,PRV51007,69,3,17,3,10,5,7,26,40,22,12,16,29,49,51,21,22,12,110,0.0,468.19444444444446,33710,3050.0,219600,445.0,32040,1729.7222222222222,32040,69.275,0.9583333333333334,0,0.2222222222222222,914.7222222222222,65860,4779.722222222223,344140,72,2,6,0
5,PRV51008,41,2,9,2,10,5,5,17,25,14,9,9,12,30,33,11,6,2,67,0.0,828.6046511627907,35630,6592.093023255814,283460,620.9302325581396,26700,2570.4651162790697,26700,75.61025804396304,1.5348837209302326,0,0.18604651162790697,1236.9767441860465,53190,9162.558139534884,393990,43,2,9,0
6,PRV51011,57,1,13,1,28,10,15,25,37,25,4,21,31,41,44,20,16,2,89,0.0,286.7241379310345,16630,4414.827586206897,256060,674.2758620689655,39108,1399.3103448275863,39108,74.35470004723665,0.5517241379310345,0,0.08620689655172414,1041.0,60378,5814.137931034483,337220,58,1,9,0
7,PRV51012,48,0,16,0,14,3,13,18,26,22,6,21,19,35,38,17,17,3,85,0.0,351.875,16890,6935.416666666667,332900,839.9166666666666,40316,3793.9583333333335,40316,74.52054794520548,3.7083333333333335,0,0.0,1575.125,75606,10729.375,515010,48,3,6,0
8,PRV51013,46,0,12,0,9,5,4,17,26,19,4,16,18,37,36,12,16,2,80,0.0,323.4782608695652,14880,3635.6521739130435,167240,593.304347826087,27292,3226.521739130435,27292,74.44460988683741,1.4565217391304348,0,0.0,1508.0869565217392,69372,6862.173913043478,315660,46,2,8,0
9,PRV51014,30,0,5,0,7,6,8,16,17,16,2,9,10,19,20,6,12,3,53,0.0,349.3333333333333,10480,2786.3333333333335,83590,427.2,12816,1742.3333333333333,12816,71.16328767123288,0.4666666666666667,0,0.0,1076.5333333333333,32296,4528.666666666667,135860,30,2,6,0
